OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
2829505,63733618842273,None,NoneNone
2829530,63733618842287,None,NoneNone
2829530,63733618842299,None,NoneNone
2829539,63733618842311,None,NoneNone
2829555,63733618842327,None,NoneNone
2829572,63733618842340,None,NoneNone
2829589,63733618842351,None,NoneNone
2829589,63733618842362,None,NoneNone
2829597,63733618842374,None,NoneNone
2829614,63733618842398,None,NoneNone
2829639,63733618842414,None,NoneNone
2829639,63733618842426,None,NoneNone
2829639,63733618842439,None,NoneNone
2829672,63733618842452,None,NoneNone
2829697,63733618842464,None,NoneNone
2829714,63733618842476,None,NoneNone
2829714,63733618842489,None,NoneNone
2829730,63733618842503,None,NoneNone
2829739,63733618842515,None,NoneNone
2829764,63733618842527,None,NoneNone
2829780,63733618842552,None,NoneNone
2829797,63733618842567,None,NoneNone
2829814,63733618842582,None,NoneNone
2829830,63733618842593,None,NoneNone
2829839,63733618842604,None,NoneNone
2829839,63733618842617,None,NoneNone
2829855,63733618842629,None,NoneNone
2829872,63733618842640,None,NoneNone
2829880,63733618842652,None,NoneNone
2829880,63733618842665,None,NoneNone
2829897,63733618842676,None,NoneNone
2829897,63733618842689,None,NoneNone
2829930,63733618842714,None,NoneNone
2829955,63733618842728,None,NoneNone
2829972,63733618842740,None,NoneNone
2829989,63733618842752,None,NoneNone
2830005,63733618842764,None,NoneNone
2830005,63733618842776,None,NoneNone
2830014,63733618842793,None,NoneNone
2830030,63733618842807,None,NoneNone
2830047,63733618842819,None,NoneNone
2830064,63733618842832,None,NoneNone
2830072,63733618842846,None,NoneNone
2830105,63733618842873,None,NoneNone
2830114,63733618842890,None,NoneNone
2830139,63733618842913,None,NoneNone
2830155,63733618842926,None,NoneNone
2830180,63733618842939,None,NoneNone
2830180,63733618842953,None,NoneNone
2830197,63733618842966,None,NoneNone
2830205,63733618842983,None,NoneNone
2830230,63733618842997,None,NoneNone
2830247,63733618843025,None,NoneNone
2830264,63733618843043,None,NoneNone
2830280,63733618843057,None,NoneNone
2830297,63733618843072,None,NoneNone
2830330,63733618843086,None,NoneNone
2830339,63733618843099,None,NoneNone
2830347,63733618843116,None,NoneNone
2830347,63733618843130,None,NoneNone
2830380,63733618843144,None,NoneNone
2830397,63733618843161,None,NoneNone
2830422,63733618843188,None,NoneNone
2830439,63733618843205,None,NoneNone
2830455,63733618843219,None,NoneNone
2830464,63733618843234,None,NoneNone
2830480,63733618843250,None,NoneNone
2830497,63733618843263,None,NoneNone
2830514,63733618843277,None,NoneNone
2830530,63733618843294,None,NoneNone
2830539,63733618843307,None,NoneNone
2830555,63733618843322,None,NoneNone
2830572,63733618843348,None,NoneNone
2830580,63733618843365,None,NoneNone
2830580,63733618843378,None,NoneNone
2830614,63733618843394,None,NoneNone
2830614,63733618843408,None,NoneNone
2830647,63733618843423,None,NoneNone
2830664,63733618843439,None,NoneNone
2830664,63733618843452,None,NoneNone
2830697,63733618843466,None,NoneNone
2830705,63733618843484,None,NoneNone
2830730,63733618843512,None,NoneNone
2830755,63733618843530,None,NoneNone
2830772,63733618843543,None,NoneNone
2830789,63733618843560,None,NoneNone
2830797,63733618843575,None,NoneNone
2830814,63733618843589,None,NoneNone
2830830,63733618843605,None,NoneNone
2830847,63733618843620,None,NoneNone
2830864,63733618843633,None,NoneNone
2830880,63733618843649,None,NoneNone
2830905,63733618843675,None,NoneNone
2830930,63733618843693,None,NoneNone
2830939,63733618843706,None,NoneNone
2830939,63733618843719,None,NoneNone
2830947,63733618843734,None,NoneNone
2830947,63733618843749,None,NoneNone
2830972,63733618843763,None,NoneNone
2831005,63733618843777,None,NoneNone
2831030,63733618843793,None,NoneNone
2831047,63733618843807,None,NoneNone
2831080,63733618843834,None,NoneNone
2831080,63733618843848,None,NoneNone
2831088,63733618843857,None,NoneNone
2831105,63733618843866,None,NoneNone
2831105,63733618843877,None,NoneNone
2831122,63733618843888,None,NoneNone
2831130,63733618843899,None,NoneNone
2831130,63733618843910,None,NoneNone
2831155,63733618843921,None,NoneNone
2831180,63733618843932,None,NoneNone
2831180,63733618843943,None,NoneNone
2831188,63733618843955,None,NoneNone
2831205,63733618843967,None,NoneNone
2831222,63733618843989,None,NoneNone
2831238,63733618844001,None,NoneNone
2831255,63733618844010,None,NoneNone
2831255,63733618844021,None,NoneNone
2831272,63733618844032,None,NoneNone
2831288,63733618844044,None,NoneNone
2831288,63733618844054,None,NoneNone
2831305,63733618844066,None,NoneNone
2831322,63733618844077,None,NoneNone
2831338,63733618844088,None,NoneNone
2831338,63733618844100,None,NoneNone
2831355,63733618844111,None,NoneNone
2831363,63733618844122,None,NoneNone
2831388,63733618844145,None,NoneNone
