OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,valL,valR
2829814,63733618842567,-81,85214,2,675083,-5,968997,-0,007741788,0,9359587,-0,04963511,0,3485079,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,False,False,False
2829830,63733618842582,-81,85934,2,674658,-5,972623,-0,008018226,0,9358858,-0,05216911,0,3483272,-29,85956,7,344528,-36,52382,-0,03140259,-0,1794434,0,9832611,0,0,0,0,0,0,-0,03140259,-0,1794434,0,9832611,-0,03140259,-0,1794434,0,9832611,False,False,False
2829839,63733618842593,-81,86303,2,674777,-5,97452,-0,008008953,0,9358253,-0,05368172,0,3482601,-29,86398,7,327942,-36,5459,-0,02883911,-0,1890106,0,9815369,31,34502,7,257294,-35,42201,31,34502,7,257294,-35,42201,-0,02883911,-0,1890106,0,9815369,-0,02883911,-0,1890106,0,9815369,True,True,True
2829855,63733618842617,-81,87055,2,675313,-5,978301,-0,007627506,0,9355026,-0,0566797,0,3486604,-29,8197,7,074478,-35,51926,-0,03903198,-0,1951752,0,9799805,31,39618,7,242798,-35,36043,31,39618,7,242798,-35,36043,-0,03903198,-0,1951752,0,9799805,-0,03903198,-0,1951752,0,9799805,True,True,True
2829872,63733618842629,-81,87445,2,675404,-5,980202,-0,007560197,0,9352166,-0,05812157,0,3491915,-29,85406,7,237076,-36,12268,-0,02766418,-0,2030792,0,9787598,31,39732,7,300934,-35,70917,31,39732,7,300934,-35,70917,-0,02766418,-0,2030792,0,9787598,-0,02766418,-0,2030792,0,9787598,True,True,True
2829880,63733618842640,-81,87833,2,675561,-5,982061,-0,007766945,0,9350616,-0,05946549,0,3493756,-29,84412,7,214722,-36,08711,-0,03175354,-0,1925049,0,9807739,31,42267,7,351807,-35,88396,31,42267,7,351807,-35,88396,-0,03175354,-0,1925049,0,9807739,-0,03175354,-0,1925049,0,9807739,True,True,True
2829897,63733618842665,-81,8861,2,676053,-5,986021,-0,008310844,0,9346132,-0,06218982,0,3500879,-29,86159,7,267609,-36,32954,-0,02406311,-0,192688,0,980957,31,44865,7,192062,-35,30107,31,44865,7,192062,-35,30107,-0,02406311,-0,192688,0,980957,-0,02406311,-0,192688,0,980957,True,True,True
2829930,63733618842689,-81,89365,2,676238,-5,989966,-0,009212766,0,934211,-0,06454135,0,3507128,-29,83324,7,253647,-36,29713,-0,02102661,-0,1783905,0,9837189,31,4557,7,314728,-35,70195,31,4557,7,314728,-35,70195,-0,02102661,-0,1783905,0,9837189,-0,02102661,-0,1783905,0,9837189,True,True,True
2829955,63733618842714,-81,90096,2,676136,-5,993967,-0,01009223,0,933679,-0,06591503,0,3518479,-29,83592,7,215393,-36,01804,-0,0196991,-0,173172,0,9846802,31,49298,7,238754,-35,18167,31,49298,7,238754,-35,18167,-0,0196991,-0,173172,0,9846802,-0,0196991,-0,173172,0,9846802,True,True,True
2829972,63733618842728,-81,90788,2,675852,-5,997889,-0,009955641,0,9326741,-0,0671521,0,3542747,-11,50505,7,43602,-36,24553,-0,0123291,-0,1631927,0,9865112,31,48447,7,455475,-35,6825,31,48447,7,455475,-35,6825,-0,0123291,-0,1631927,0,9865112,-0,0123291,-0,1631927,0,9865112,True,True,True
