OcutimeStamp,UnityTimeStamp,LeftCollide,RightCollide,CombCollide
2882811,63733618895577,None,NoneNone
2882811,63733618895590,None,NoneNone
2882836,63733618895612,None,NoneNone
2882869,63733618895633,None,NoneNone
2882877,63733618895656,None,NoneNone
2882936,63733618895689,None,NoneNone
2882944,63733618895723,None,NoneNone
2882994,63733618895758,None,NoneNone
2883027,63733618895789,None,NoneNone
2883052,63733618895822,None,NoneNone
2883077,63733618895856,None,NoneNone
2883119,63733618895888,None,NoneNone
2883144,63733618895922,None,NoneNone
2883169,63733618895955,None,NoneNone
2883202,63733618895989,None,NoneNone
2883244,63733618896022,None,NoneNone
2883294,63733618896055,None,NoneNone
2883327,63733618896089,None,NoneNone
2883352,63733618896122,None,NoneNone
2883385,63733618896156,None,NoneNone
2883419,63733618896188,None,NoneNone
2883444,63733618896222,None,NoneNone
2883494,63733618896255,None,NoneNone
2883510,63733618896289,None,NoneNone
2883544,63733618896323,None,NoneNone
2883569,63733618896356,None,NoneNone
2883635,63733618896389,None,NoneNone
2883660,63733618896423,None,NoneNone
2883677,63733618896445,None,NoneNone
2883694,63733618896466,None,NoneNone
2883719,63733618896489,None,NoneNone
2883735,63733618896510,None,NoneNone
2883760,63733618896533,None,NoneNone
2883794,63733618896579,None,NoneNone
2883794,63733618896593,None,NoneNone
2883827,63733618896604,None,NoneNone
2883852,63733618896623,None,NoneNone
2883877,63733618896645,None,NoneNone
2883894,63733618896667,None,NoneNone
2883910,63733618896690,None,NoneNone
2883935,63733618896713,None,NoneNone
2883960,63733618896734,None,NoneNone
2883994,63733618896757,None,NoneNone
2884002,63733618896778,None,NoneNone
2884010,63733618896801,None,NoneNone
2884044,63733618896823,None,NoneNone
2884044,63733618896845,None,NoneNone
2884077,63733618896868,None,NoneNone
2884110,63733618896890,None,NoneNone
2884127,63733618896912,None,NoneNone
2884160,63733618896934,None,NoneNone
2884177,63733618896956,None,NoneNone
2884202,63733618896978,None,NoneNone
2884244,63733618897000,None,NoneNone
2884244,63733618897022,None,NoneNone
2884269,63733618897045,None,NoneNone
2884294,63733618897067,None,NoneNone
2884310,63733618897090,None,NoneNone
2884335,63733618897112,None,NoneNone
2884335,63733618897137,None,NoneNone
2884385,63733618897156,None,NoneNone
2884402,63733618897178,None,NoneNone
2884419,63733618897200,None,NoneNone
2884452,63733618897223,None,NoneNone
2884469,63733618897245,None,NoneNone
2884502,63733618897268,None,NoneNone
2884510,63733618897290,None,NoneNone
2884535,63733618897312,None,NoneNone
2884569,63733618897335,None,NoneNone
2884577,63733618897357,None,NoneNone
2884610,63733618897379,None,NoneNone
2884610,63733618897401,None,NoneNone
2884660,63733618897424,None,NoneNone
2884677,63733618897446,None,NoneNone
2884694,63733618897467,None,NoneNone
2884727,63733618897490,None,NoneNone
2884735,63733618897512,None,NoneNone
2884768,63733618897534,None,NoneNone
2884768,63733618897557,None,NoneNone
2884818,63733618897579,None,NoneNone
2884835,63733618897601,None,NoneNone
2884843,63733618897623,None,NoneNone
2884885,63733618897646,None,NoneNone
2884902,63733618897668,None,NoneNone
2884910,63733618897679,None,NoneNone
2884927,63733618897691,None,NoneNone
2884927,63733618897702,None,NoneNone
2884935,63733618897713,None,NoneNone
2884960,63733618897725,None,NoneNone
2884977,63733618897737,None,NoneNone
2884993,63733618897758,None,NoneNone
2885010,63733618897770,None,NoneNone
2885010,63733618897781,None,NoneNone
2885027,63733618897793,None,NoneNone
2885035,63733618897805,None,NoneNone
2885043,63733618897817,None,NoneNone
2885043,63733618897828,None,NoneNone
2885068,63733618897840,None,NoneNone
2885077,63733618897855,None,NoneNone
2885102,63733618897867,None,NoneNone
2885102,63733618897878,None,NoneNone
2885118,63733618897890,None,NoneNone
2885143,63733618897915,None,NoneNone
2885168,63733618897933,None,NoneNone
2885177,63733618897945,None,NoneNone
2885177,63733618897956,None,NoneNone
2885202,63733618897968,None,NoneNone
2885210,63733618897980,None,NoneNone
2885235,63733618897992,None,NoneNone
2885235,63733618898004,None,NoneNone
2885243,63733618898016,None,NoneNone
2885260,63733618898027,None,NoneNone
2885268,63733618898039,None,NoneNone
