UnityTS,Heart,Light
569569,31453,41472
569579,31434,41216
569589,31443,41072
569599,31429,41052
569609,31441,41132
569619,31421,40980
569629,31409,41029
569639,31402,40857
569649,31404,40856
569659,31392,40856
569669,31401,40680
569679,31392,40650
569689,31420,40720
569699,31442,40648
569709,31476,40640
569719,31496,40584
569729,31520,40680
569739,31556,40518
569749,31696,40404
569759,31960,40340
569769,32352,40268
569779,32816,40324
569789,33328,40324
569799,33797,40220
569809,34218,40116
569819,34540,40060
569829,34760,39961
569839,34882,39992
569849,34904,40208
569859,34860,39953
569869,34780,39980
569879,34636,40036
569889,34476,39864
569899,34320,39984
569909,34160,39872
569919,34004,39876
569929,33860,39744
569939,33712,39744
569949,33582,39724
569959,33454,39700
569969,33328,39680
569979,33200,39708
569989,33130,39704
569999,33049,39704
570009,32992,39592
570019,32948,39657
570029,32937,39636
570039,32925,39668
570049,32950,39576
570059,32968,39548
570069,32989,39604
570079,32988,39636
570089,32994,39480
570099,32974,39413
570109,32952,39425
570119,32917,39420
570129,32848,39488
570139,32760,39556
570149,32676,39288
570159,32604,39344
570169,32552,39416
570179,32508,39368
570189,32497,39384
570199,32434,39400
570209,32396,39321
570219,32376,39162
570229,32377,39122
570239,32392,39244
570249,32424,39180
570259,32454,39228
570269,32473,39237
570279,32469,39154
570289,32492,39300
570299,32492,39324
570309,32532,39176
570319,32572,39212
570329,32636,39140
570339,32684,39221
570349,32752,39258
570359,32815,39146
570369,32868,39186
570379,32884,39168
570389,32912,39168
570399,32912,39258
570409,32928,39448
570419,32941,39332
570429,32932,39244
570439,32929,39218
570449,32944,39300
570459,32957,39292
570469,32962,39356
570479,32948,39261
570489,32940,39336
570499,32915,39300
570509,32900,39272
570519,32869,39368
570529,32851,39312
570539,32804,39280
570549,32768,39312
570559,32728,39421
570569,32692,39289
570579,32666,39298
570589,32672,39420
570599,32677,39572
570609,32652,39292
570619,32620,39316
570629,32600,39276
570639,32602,39453
570649,32732,39480
570659,33004,39388
570669,33388,39385
570679,33808,39380
570689,34244,39384
570699,34625,39312
570709,34949,39340
570719,35152,39444
570729,35252,39425
570739,35268,39308
570749,35232,39444
570759,35120,39296
570769,34988,39432
570779,34800,39304
570789,34649,39306
570799,34464,39504
570809,34294,39353
570819,34134,39504
570829,33956,39644
570839,33772,39400
570849,33624,39412
570859,33488,39558
570869,33380,39500
570879,33272,39580
570889,33212,39568
570899,33157,39720
570909,33140,39604
570919,33165,39624
570929,33202,39642
570939,33260,39728
570949,33356,39740
570959,33428,39764
570969,33512,39644
570979,33560,39684
570989,33592,39796
570999,33588,39836
571009,33578,39976
571019,33528,39762
571029,33468,39868
571039,33392,39825
571049,33320,39976
571059,33244,40116
571069,33180,39952
571079,33084,39889
571089,33018,39966
571099,32956,40078
571109,32929,40072
571119,32896,40136
571129,32860,40153
571139,32824,40248
571149,32784,40304
571159,32776,40176
571169,32778,40168
571179,32769,40281
571189,32776,40352
571199,32772,40288
571209,32756,40296
571219,32724,40412
571229,32698,40440
571239,32668,40468
571249,32657,40300
571259,32624,40368
571269,32613,40353
571279,32580,40440
571289,32580,40698
571299,32568,40468
571309,32584,40444
571319,32584,40640
571329,32568,40588
571339,32556,40634
571349,32560,40554
571359,32544,40688
571369,32548,40602
571379,32529,40537
571389,32528,40715
571399,32508,40636
571409,32505,40690
571419,32500,40625
571429,32480,40640
571439,32449,40714
571449,32436,40580
571459,32426,40537
571469,32480,40576
571479,32632,40748
571489,32924,40721
571499,33312,40672
571509,33768,40784
571519,34220,40784
571529,34640,40833
571539,34972,40657
571549,35232,40696
571559,35392,40672
571569,35452,40700
571579,35434,40600
571589,35360,40732
571599,35228,40744
571609,35090,40698
571619,34929,40804
571629,34762,40952
571639,34574,40976
571649,34394,40744
571659,34216,40716
571669,34056,40776
571679,33876,40824
571689,33736,40876
571699,33610,40898
571709,33504,40872
571719,33396,40839
571729,33292,40928
571739,33205,40884
571749,33168,40897
571759,33129,40836
571769,33128,40972
571779,33137,40928
571789,33168,40976
571799,33197,40920
571809,33230,41116
571819,33232,41048
571829,33240,40968
571839,33221,41032
571849,33212,40976
571859,33181,40792
571869,33172,40848
571879,33120,41148
571889,33064,40880
571899,32970,40944
571909,32917,40848
571919,32864,40974
571929,32805,40864
571939,32742,41084
571949,32701,40796
571959,32633,40804
571969,32572,40932
571979,32496,40948
571989,32448,40936
571999,32408,40972
572009,32376,40936
572019,32331,40788
572029,32289,40916
572039,32244,40816
572049,32216,40826
572059,32184,40885
572069,32180,40736
572079,32156,40880
572089,32168,40792
572099,32176,40894
572109,32184,41008
572119,32196,40884
572129,32202,40672
572139,32212,40832
572149,32228,40884
572159,32237,40912
572169,32252,40752
572179,32252,40920
572189,32260,41064
572199,32288,40948
572209,32316,40830
572219,32346,40896
572229,32372,40908
572239,32380,40832
572249,32416,40960
572259,32436,40912
572269,32500,40856
572279,32612,40932
572289,32857,40884
572299,33212,41032
572309,33681,40824
572319,34192,40944
572329,34708,40958
572339,35168,40968
572349,35584,41012
572359,35889,40932
572369,36114,40864
572379,36225,41084
572389,36272,40960
572399,36232,40996
572409,36172,41033
572419,36098,41060
572429,35997,40896
572439,35898,41058
572449,35832,41249
572459,35760,41084
572469,35724,41092
572479,35652,40997
572489,35626,40928
572499,35597,40984
572509,35592,41212
572519,35636,41124
572529,35682,41204
572539,35764,41120
572549,35860,41060
572559,35948,41081
572569,36073,41048
572579,36190,40992
572589,36332,41060
572599,36432,41132
572609,36553,41086
572619,36668,41100
572629,36745,41108
572639,36801,41259
572649,36856,41162
572659,36908,41196
572669,36948,41125
572679,36948,41333
572689,36956,41120
572699,36968,41156
572709,36964,41120
572719,36956,41192
572729,36940,41236
572739,36932,41188
572749,36932,41156
572759,36944,41144
572769,36952,41164
572779,36916,41264
572789,36892,41276
572799,36869,41184
572809,36840,41472
572819,36800,41180
572829,36749,41228
572839,36674,41416
572849,36588,41320
572859,36452,41212
572869,36284,41288
572879,36064,41169
572889,35868,41272
572899,35637,41204
572909,35432,41253
572919,35192,41253
572929,34962,41265
572939,34736,41076
572949,34554,41082
572959,34372,41029
572969,34207,41088
572979,34008,41108
572989,33856,41044
572999,33752,40936
573009,33678,40888
573019,33617,40915
573029,33560,40812
573039,33496,40888
573049,33464,40948
573059,33440,41112
573069,33472,40928
573079,33548,41008
573089,33788,40836
573099,34122,40792
573109,34556,40980
573119,35004,40843
573129,35481,40912
573139,35888,40817
573149,36217,40832
573159,36436,40872
573169,36592,40928
573179,36624,40877
573189,36580,40876
573194,36452,40866
573204,36297,40914
573214,36132,40844
573224,35988,40896
573234,35808,40928
573244,35656,40836
573254,35488,40852
573264,35336,41080
573274,35173,40857
573284,35082,40920
573294,34980,40872
573304,34916,41012
573314,34824,40864
573324,34780,40936
573334,34748,40954
573344,34788,40776
573354,34832,40932
573364,34908,40832
573374,34945,40872
573384,34968,40836
573394,34940,40940
573404,34904,41140
573414,34849,40936
573424,34792,40944
573434,34728,40932
573444,34668,40912
573454,34592,41056
573464,34472,40842
573474,34208,40928
573484,33984,40900
573494,33752,40936
573504,33556,40869
573514,33332,40840
573524,33104,41128
573534,32860,40877
573544,32626,40909
573554,32385,41064
573564,32140,40848
573574,31884,40900
573584,31648,40936
573594,31394,40896
573604,31192,40785
573614,30969,40969
573624,30764,41000
573634,30560,41004
573644,30393,40960
573654,30218,41038
573664,30088,40802
573674,29946,40992
573684,29869,40824
573694,29776,40812
573704,29760,40561
573714,29768,40564
573724,29728,40760
573734,29792,40752
573744,29824,40589
573754,29700,40584
573764,29648,40708
573774,29604,40568
573784,29500,40800
573794,29360,41168
573804,28896,41728
573814,28468,42336
573824,28568,42720
573834,29036,43448
573844,29593,43258
573854,30036,43130
573864,30372,43372
573874,30556,43552
573884,30736,44044
573894,30897,44340
573904,31183,44773
573914,31585,44852
573924,32117,44944
573934,32688,44885
573944,33284,44480
573954,33804,43636
573964,34272,43393
573974,34592,43080
573984,34850,43028
573994,34996,43060
574004,35090,42908
574014,35104,42936
574024,35089,43096
574034,35021,42809
574044,34970,42524
574054,34880,42380
574064,34816,42140
574074,34728,42240
574084,34712,42622
574094,34684,42776
574104,34696,43152
574114,34704,43608
574124,34740,44416
574134,34776,45080
574144,34864,46037
574154,34956,46856
574164,35072,47472
574174,35184,47540
574184,35320,47584
574194,35458,48552
574204,35633,48969
574214,35816,49580
574224,36034,49508
574234,36200,49789
574244,36374,49752
574254,36524,49840
574264,36656,49812
574274,36768,49941
574284,36876,49756
574294,36944,49728
574304,37016,50004
574314,37052,49920
574324,37080,49730
574334,37082,49920
574344,37080,50037
574354,37050,49808
574364,37012,49976
574374,36913,49900
574384,36830,49888
574394,36749,49972
574404,36674,50140
574414,36592,50052
574424,36552,50256
574434,36472,50140
574444,36428,50348
574454,36360,50456
574464,36292,50396
574474,36210,49972
574484,36177,50172
574494,36128,50088
574504,36100,49976
574514,36050,49704
574524,36009,48972
574534,35952,48380
574544,35922,47040
574554,35880,45516
574564,35828,44392
574574,35800,43545
574584,35840,43176
574594,36046,42652
574604,35988,42746
574614,35658,43060
574624,35512,42520
574634,35374,42176
574644,35192,42785
574654,35082,43608
574664,35080,43644
574674,35064,43948
574684,35024,44017
574694,34976,43824
574704,34970,43672
574714,34988,43704
574724,34969,43208
574734,34980,42944
574744,35138,42728
574754,35336,42469
574764,35672,42572
574774,36025,42548
574784,36428,42648
574794,36752,42436
574804,36960,42572
574814,37048,42524
574826,37124,42528
574836,37118,42640
574846,37069,42341
574856,36888,42480
574866,36672,42276
574876,36432,42296
574886,36244,42120
574896,36108,42292
574906,36006,42388
574916,35909,42212
574926,35816,42385
574936,35704,42424
574946,35618,42226
574956,35504,42309
574966,35405,42209
574976,35271,42013
574986,35176,42127
574996,35072,42192
575006,35008,41996
575016,34936,42100
575024,34881,41976
575034,34824,42208
575044,34801,42260
575054,34780,42176
575064,34778,42013
575074,34737,42112
575084,34733,42116
575094,34697,42096
575104,34684,42114
575114,34644,42256
575124,34611,42136
575134,34576,42104
575144,34576,42184
575154,34540,42248
575164,34542,41988
575174,34500,41981
575184,34512,42116
575194,34490,42136
575204,34496,42145
575214,34488,42216
575224,34498,42157
575234,34500,42200
575244,34540,42120
575254,34564,42200
575264,34628,42212
575273,34660,42184
575283,34720,42192
575293,34769,42176
575303,34848,42248
575313,34912,42337
575323,34989,42349
575333,35056,42076
575343,35132,42100
575353,35236,42312
575363,35348,42328
575374,35428,42216
575384,35504,42152
575394,35568,42168
575404,35608,42084
575414,35636,42136
575424,35676,42106
575434,35696,42300
575444,35716,42178
575454,35706,42177
575464,35690,42040
575475,35633,42232
575485,35624,42128
575495,35604,42178
575505,35576,42176
575515,35536,42128
575525,35496,42164
575535,35476,42196
575545,35472,42320
575555,35456,42204
575565,35472,42200
575575,35504,42396
575585,35600,42217
575595,35800,42260
575605,36156,42376
575615,36664,42272
575625,37152,42104
575635,37540,42180
575645,37936,42320
575655,38272,42304
575665,38537,42308
575675,38688,42344
575685,38760,42320
575695,38708,42314
575705,38608,42138
575715,38448,42157
575725,38224,42044
575735,37939,41968
575745,37648,42132
575755,37280,41852
575765,36924,41997
575776,36604,41884
575786,36332,41944
575796,36068,41832
575806,35832,41944
575816,35596,41784
575826,35400,41832
575836,35217,41969
575846,35082,41873
575856,34984,41857
575866,34937,41952
575897,34896,41908
575907,34901,42024
575917,34912,42216
575927,34956,42296
575937,35000,42212
575947,35060,42084
575957,35100,42089
575967,35156,42104
575953,35192,42224
575963,35244,41956
575973,35264,42027
575983,35284,42072
575993,35305,42076
576003,35344,42228
576013,35376,42120
576023,35401,41936
576033,35416,42083
576043,35448,42038
576053,35452,41708
576063,35476,41797
576073,35432,41856
576082,35380,41776
576092,35284,41737
576102,35180,41616
576112,35064,41889
576122,34960,41712
576132,34864,41631
576142,34797,41712
576152,34748,41680
576162,34728,41592
576172,34700,41784
576183,34708,41737
576193,34708,41908
576203,34716,41740
576213,34721,41696
576223,34704,41740
576233,34660,41872
576243,34648,41981
576253,34600,41988
576263,34600,41764
576273,34572,41808
576283,34568,41928
576293,34516,41936
576303,34480,42008
576313,34448,42012
576323,34405,42144
576333,34356,42004
576343,34306,42188
576353,34276,42193
576363,34244,42096
576373,34212,42233
576374,34177,42332
576384,34148,42128
576394,34116,42113
576404,34060,42144
576414,34017,42276
576424,33962,42160
576434,33930,42160
576444,33898,42288
576454,33880,42200
576464,33850,42064
576474,33876,42176
576495,33964,42065
576505,34197,42264
576515,34556,42100
576525,34994,42008
576535,35461,42100
576545,35920,42120
576555,36296,42256
576565,36613,42280
576575,36816,42144
576586,36960,42076
576596,37008,42096
576606,36996,42136
576616,36905,42052
576626,36801,42068
576636,36668,42112
576646,36548,42200
576656,36417,42037
576666,36290,42296
576676,36148,42272
576676,36010,42256
576686,35868,42096
576696,35744,42192
576706,35609,42144
576716,35473,42152
576726,35332,42124
576736,35216,41988
576746,35112,42122
576756,35040,41976
576766,34957,42060
576776,34928,42224
576797,34904,41984
576807,34896,42028
576817,34888,42152
576827,34880,42224
576837,34872,42012
576847,34876,41997
576857,34864,42128
576867,34868,42004
576877,34825,41952
576879,34792,42085
576889,34734,42048
576899,34676,42144
576909,34604,42064
576919,34549,42080
576929,34492,41976
576939,34481,41880
576949,34468,41992
576959,34508,41884
576969,34556,41840
576979,34648,41857
576999,34736,41864
577009,34824,41616
577019,34904,41675
577029,34984,41704
577039,35049,41600
577049,34924,41877
577059,34752,41720
577069,34589,41821
577079,34448,41816
577089,34376,41800
577091,34288,41728
577101,34212,41644
577111,34171,41940
577121,34221,41840
577131,34306,41826
577141,34384,41728
577151,34378,41761
577161,34370,42001
577171,34332,41989
577181,34348,42076
577191,34352,42204
577201,34353,42036
577221,34344,42032
577231,34320,42284
577241,34221,42156
577251,34100,42456
577261,33930,42452
577271,33754,42736
577281,33536,42692
577291,33352,43154
577301,33152,43724
577302,32988,44192
577312,32814,44703
577322,32628,45328
577332,32392,45780
577342,32126,46680
577352,31784,47161
577362,31420,47308
577372,31001,47564
577382,30584,46920
577392,30088,45488
577402,29628,43576
577412,29220,40922
577422,28880,38072
577432,28624,35552
577442,28512,33576
577452,28501,32208
577462,28574,34044
577472,28633,37624
577482,28706,40404
577492,28688,42694
577502,28628,43668
577515,28508,43688
577525,28320,43642
577535,28093,44724
577545,27820,45340
577555,27448,46016
577565,27061,46728
577575,26624,47308
577585,26260,48032
577595,25873,48732
577605,25522,49932
577609,25200,50928
577619,24880,51821
577629,24508,52224
577639,24189,52300
577649,23853,52632
577659,23572,52760
577669,23300,52840
577679,23093,52608
577689,22880,52348
577699,22720,51968
577709,22563,51956
577730,22366,51948
577740,22102,51500
577750,21777,51146
577760,21320,50912
577770,20792,50936
577780,20164,50428
577790,19516,50404
577800,18806,50161
577810,18062,50144
577811,17266,49956
577821,16384,49644
577831,15464,49342
577841,14578,48844
577851,13648,48440
577861,12744,47808
577871,11838,46744
577881,11058,46172
577891,10331,45152
577901,9688,44544
577911,9102,44048
577922,8536,43216
577932,7948,42712
577942,7404,41860
577952,6851,41428
577962,6378,41048
577972,5916,41012
577982,5612,40973
577992,5363,40908
578002,5258,41264
578012,5222,41660
578022,5268,42496
578033,5374,44161
578043,5596,45525
578053,5838,47217
578063,6160,48128
578073,6478,48728
578083,6888,49201
578093,7327,48784
578103,7855,48561
578113,8428,47841
578123,9046,46712
578133,9684,46284
578143,10412,45656
578153,11149,45384
578163,11950,44980
578173,12745,44536
578183,13630,43768
578193,14530,43140
578203,15504,42136
578213,16532,41784
578223,17612,41248
578239,18674,41216
578249,19752,41172
578259,20708,41120
578269,21616,41648
578279,22456,42216
578289,23354,42752
578299,24272,43897
578309,25280,44904
