63779492695760:User_ID: 2
63779492695760:lab,participant,trial_idx,roomName,instruction,duration
63779492695761:HfG,2,0,Version1BankTestbedMesh,hfgSit,75
63779492695761:HfG,2,1,Version1BankTestbedMesh,hfgLean,45
63779492695762:HfG,2,2,Version2BankTestbedWood,hfgLean,105
63779492695762:HfG,2,3,Version2BankTestbedWood,hfgSit,90
63779492695763:HfG,2,4,Version1BankTestbedMesh,hfgLean,60
63779492695763:HfG,2,5,Version1BankTestbedMesh,hfgSit,75
63779492695764:HfG,2,6,Version1BankTestbedMesh,hfgSit,90
63779492695764:HfG,2,7,Version1BankTestbedMesh,hfgLean,60
63779492695764:HfG,2,8,Version1BankTestbedMesh,hfgLean,105
63779492695765:HfG,2,9,Version1BankTestbedMesh,hfgSit,45
63779492695765:HfG,2,10,Version2BankTestbedWood,hfgLean,45
63779492695766:HfG,2,11,Version2BankTestbedWood,hfgSit,60
63779492695766:HfG,2,12,Version2BankTestbedWood,hfgLean,90
63779492695766:HfG,2,13,Version2BankTestbedWood,hfgLean,75
63779492695767:HfG,2,14,Version2BankTestbedWood,hfgSit,105
63779492695767:HfG,2,15,Version1BankTestbedMesh,hfgLean,90
63779492695768:HfG,2,16,Version2BankTestbedWood,hfgLean,105
63779492695768:HfG,2,17,Version1BankTestbedMesh,hfgLean,45
63779492695769:HfG,2,18,Version2BankTestbedWood,hfgLean,60
63779492695769:HfG,2,19,Version1BankTestbedMesh,hfgLean,75
63779492695769:HfG,2,20,Version1BankTestbedMesh,hfgSit,60
63779492695770:HfG,2,21,Version2BankTestbedWood,hfgSit,75
63779492695770:HfG,2,22,Version1BankTestbedMesh,hfgSit,105
63779492695771:HfG,2,23,Version2BankTestbedWood,hfgSit,45
63779492695771:HfG,2,24,Version2BankTestbedWood,hfgSit,90
63779492695772:Started experiment
