UnityTS,Heart,Light
63779525755684,34408,50912
63779525755694,34304,50912
63779525755704,34212,50708
63779525755714,34080,50716
63779525755724,33952,50632
63779525755734,33824,50628
63779525755744,33704,50432
63779525755754,33588,50713
63779525755764,33480,50620
63779525755774,33384,50580
63779525755784,33321,50848
63779525755794,33254,50648
63779525755804,33224,50624
63779525755814,33173,50600
63779525755824,33156,50660
63779525755834,33164,50573
63779525755844,33202,50684
63779525755854,33228,50561
63779525755864,33272,50543
63779525755874,33293,50533
63779525755884,33316,50628
63779525755894,33322,50789
63779525755904,33330,50724
63779525755914,33292,50632
63779525755924,33248,50576
63779525755934,33177,50716
63779525755944,33112,50832
63779525755954,33042,50680
63779525755964,33000,50548
63779525755974,32964,50720
63779525755984,32944,50620
63779525755994,32917,50564
63779525756004,32908,50680
63779525756014,32880,50564
63779525756024,32865,50562
63779525756034,32848,50708
63779525756044,32820,50628
63779525756054,32780,50597
63779525756064,32740,50860
63779525756074,32709,50624
63779525756084,32680,50952
63779525756094,32644,50800
63779525756104,32634,50888
63779525756114,32610,50784
63779525756124,32613,50824
63779525756134,32601,50784
63779525756144,32629,50981
63779525756154,32626,51016
63779525756164,32640,51064
63779525756174,32648,50844
63779525756184,32656,51004
63779525756194,32656,50960
63779525756204,32688,51205
63779525756214,32684,51220
63779525756224,32706,51195
63779525756237,32699,51093
63779525756247,32701,51296
63779525756257,32690,51160
63779525756267,32681,51154
63779525756277,32677,51340
63779525756287,32696,51232
63779525756297,32704,51216
63779525756307,32734,51556
63779525756317,32748,51456
63779525756327,32772,51456
63779525756332,32796,51444
63779525756342,32836,51652
63779525756352,32846,51612
63779525756362,32832,51584
63779525756372,32802,51765
63779525756382,32792,51704
63779525756392,32764,51816
63779525756402,32741,51889
63779525756412,32732,51924
63779525756422,32781,51868
63779525756432,32917,52200
63779525756441,33153,52080
63779525756451,33440,51952
63779525756461,33760,51968
63779525756471,34052,52290
63779525756481,34346,52302
63779525756491,34560,52160
63779525756501,34720,52084
63779525756511,34788,52391
63779525756521,34816,52434
63779525756531,34768,52144
63779525756541,34712,52464
63779525756552,34608,52460
63779525756562,34506,52504
63779525756572,34392,52480
63779525756582,34298,52496
63779525756592,34208,52309
63779525756602,34124,52328
63779525756612,34016,52501
63779525756622,33928,52260
63779525756632,33836,52304
63779525756642,33744,52384
63779525756652,33672,52272
63779525756662,33624,52544
63779525756672,33588,52484
63779525756682,33588,52456
63779525756692,33572,52208
63779525756702,33568,52468
63779525756712,33580,52512
63779525756722,33596,52324
63779525756732,33604,52212
63779525756742,33648,52244
63779525756752,33642,52169
63779525756773,33648,52352
63779525756783,33612,52124
63779525756793,33592,52088
63779525756803,33544,52244
63779525756813,33496,52052
63779525756823,33440,52256
63779525756833,33396,52200
63779525756843,33336,51996
63779525756853,33284,52128
63779525756853,33211,51914
63779525756863,33148,52000
63779525756873,33081,51674
63779525756883,33008,51628
63779525756893,32916,51680
63779525756903,32844,51676
63779525756913,32760,51656
63779525756923,32688,51508
63779525756933,32624,51240
63779525756943,32608,50996
63779525756953,32592,51008
63779525756959,32608,50932
63779525756969,32644,50881
63779525756979,32720,51072
63779525756989,32798,50884
63779525756999,32892,50928
63779525757009,32993,50977
63779525757019,33084,50884
63779525757029,33136,50928
63779525757039,33150,50913
63779525757049,33120,50888
63779525757059,33064,50928
63779525757069,32980,50780
63779525757079,32884,50956
63779525757089,32804,50656
63779525757099,32749,50664
63779525757109,32714,50468
63779525757119,32728,50680
63779525757129,32754,50812
63779525757139,32804,50704
63779525757149,32858,50976
63779525757159,32961,50832
63779525757180,33024,50700
63779525757190,33094,50992
63779525757200,33124,50764
63779525757210,33128,50996
63779525757220,33116,50832
63779525757230,33088,50988
63779525757240,33061,50944
63779525757250,33032,50784
63779525757260,33024,50749
63779525757260,33057,50916
63779525757270,33172,50944
63779525757280,33380,50789
63779525757290,33648,50705
63779525757300,33972,50957
63779525757310,34256,50704
63779525757320,34536,50738
63779525757330,34744,50880
63779525757340,34905,50664
63779525757350,34956,50696
63779525757360,34968,50972
63779525757381,34929,50669
63779525757391,34864,50952
63779525757401,34763,50844
63779525757411,34653,50952
63779525757421,34536,50856
63779525757431,34440,50904
63779525757441,34368,50716
63779525757451,34340,50988
63779525757461,34312,50717
63779525757463,34272,50852
63779525757473,34192,50764
63779525757483,34128,50752
63779525757493,34064,51012
63779525757503,34025,50848
63779525757513,33970,50856
63779525757523,33938,50880
63779525757533,33916,50964
63779525757543,33936,50924
63779525757553,33945,51151
63779525757563,33960,50860
63779525757572,33969,50900
63779525757582,34004,50975
63779525757592,34028,51140
63779525757602,34040,51008
63779525757612,34017,50860
63779525757622,34000,51104
63779525757632,33968,51040
63779525757642,33944,51200
63779525757652,33884,51120
63779525757662,33849,51144
63779525757674,33800,51056
63779525757684,33754,50976
63779525757694,33686,51076
63779525757704,33625,51256
63779525757714,33552,51172
63779525757724,33488,51260
63779525757734,33404,50996
63779525757744,33330,51192
63779525757754,33244,51324
63779525757764,33168,51049
63779525757774,33088,51032
63779525757785,33024,51320
63779525757795,32960,51061
63779525757805,32904,51357
63779525757815,32857,51068
63779525757825,32810,51092
63779525757835,32756,51324
63779525757845,32705,51256
63779525757855,32652,51228
63779525757865,32612,51308
63779525757875,32578,51336
63779525757885,32552,51360
63779525757896,32529,51224
63779525757906,32508,51164
63779525757916,32490,51260
63779525757926,32476,51257
63779525757936,32442,50981
63779525757946,32440,51140
63779525757956,32425,51204
63779525757966,32396,51265
63779525757976,32373,51296
63779525757986,32368,51176
63779525757996,32364,51304
63779525758006,32376,51368
63779525758016,32376,51073
63779525758026,32376,51160
63779525758036,32360,51148
63779525758046,32369,51096
63779525758056,32360,51188
63779525758066,32396,51156
63779525758076,32520,51017
63779525758086,32728,51428
63779525758096,33008,51348
63779525758106,33324,51344
63779525758116,33632,51360
63779525758126,33941,51240
63779525758136,34196,51348
63779525758146,34384,51416
63779525758156,34496,51128
63779525758166,34568,51264
63779525758176,34568,51452
63779525758186,34536,51389
63779525758197,34480,51009
63779525758207,34426,51428
63779525758217,34344,51184
63779525758227,34272,51356
63779525758237,34192,51468
63779525758247,34136,51349
63779525758257,34056,51192
63779525758267,33988,51428
63779525758277,33906,51488
63779525758287,33856,51184
63779525758286,33792,51437
63779525758296,33760,51328
63779525758306,33737,51494
63779525758316,33722,51500
63779525758326,33716,51449
63779525758336,33724,51524
63779525758346,33724,51248
63779525758356,33745,51492
63779525758366,33760,51520
63779525758376,33780,51240
63779525758386,33792,51532
63779525758396,33804,51456
63779525758427,33788,51344
63779525758437,33772,51448
63779525758447,33753,51264
63779525758457,33736,51440
63779525758467,33696,51200
63779525758477,33665,51380
63779525758487,33628,51224
63779525758497,33592,51504
63779525758498,33553,51512
63779525758508,33528,51368
63779525758518,33476,51548
63779525758528,33434,51524
63779525758538,33400,51384
63779525758548,33364,51376
63779525758558,33308,51368
63779525758568,33264,51313
63779525758578,33220,51364
63779525758588,33193,51465
63779525758598,33144,51305
63779525758609,33108,51612
63779525758619,33064,51600
63779525758629,33032,51594
63779525758639,33000,51364
63779525758649,32976,51404
63779525758659,32928,51360
63779525758669,32903,51440
63779525758679,32865,51614
63779525758689,32848,51436
63779525758699,32808,51372
63779525758709,32780,51660
63779525758719,32744,51400
63779525758729,32712,51477
63779525758739,32685,51377
63779525758749,32668,51128
63779525758759,32641,51280
63779525758769,32634,51316
63779525758779,32616,51296
63779525758789,32602,51295
63779525758799,32564,51364
63779525758810,32536,51268
63779525758820,32521,51229
63779525758830,32556,51488
63779525758840,32664,51168
63779525758850,32860,51432
63779525758860,33096,51140
63779525758870,33386,50993
63779525758880,33692,51244
63779525758890,33984,51344
63779525758900,34221,51272
63779525758912,34400,51464
63779525758922,34497,51516
63779525758932,34564,51485
63779525758942,34564,51420
63779525758952,34528,51289
63779525758962,34458,51248
63779525758972,34376,51229
63779525758982,34302,51236
63779525758992,34229,51248
63779525759002,34148,51272
63779525759002,34072,51332
63779525759012,34008,51392
63779525759022,33952,51325
63779525759032,33892,51280
63779525759042,33836,51484
63779525759052,33785,51212
63779525759062,33728,51520
63779525759072,33685,51512
63779525759082,33656,51264
63779525759092,33644,51264
63779525759102,33636,51488
63779525759113,33640,51252
63779525759123,33648,51566
63779525759133,33668,51535
63779525759143,33704,51448
63779525759153,33726,51272
63779525759163,33750,51540
63779525759173,33753,51276
63779525759183,33780,51532
63779525759193,33780,51464
63779525759203,33776,51268
63779525759213,33757,51584
63779525759223,33740,51568
63779525759233,33720,51556
63779525759243,33706,51384
63779525759253,33656,51264
63779525759263,33640,51412
63779525759273,33604,51536
63779525759283,33576,51224
63779525759293,33548,51234
63779525759303,33504,51232
63779525759314,33480,51520
63779525759324,33464,51329
63779525759334,33444,51485
63779525759344,33440,51352
63779525759354,33402,51336
63779525759364,33392,51401
63779525759374,33384,51280
63779525759384,33372,51448
63779525759394,33352,51169
63779525759404,33348,51164
63779525759416,33336,51340
63779525759426,33336,51432
63779525759436,33336,51436
63779525759446,33320,51248
63779525759456,33304,51264
63779525759466,33300,51240
63779525759476,33284,51400
63779525759486,33273,51128
63779525759496,33269,51388
63779525759506,33263,51352
63779525759516,33226,51356
63779525759526,33216,51360
63779525759536,33208,51400
63779525759546,33172,51112
63779525759556,33136,51140
63779525759566,33116,51280
63779525759576,33080,51376
63779525759586,33066,51350
63779525759596,33068,51160
63779525759606,33140,51456
63779525759616,33272,51180
63779525759627,33484,51248
63779525759637,33752,51195
63779525759647,34032,51348
63779525759657,34280,51532
63779525759667,34508,51496
63779525759677,34677,51240
63779525759687,34800,51472
63779525759697,34853,51424
63779525759707,34840,51328
63779525759717,34784,51504
63779525759717,34706,51572
63779525759727,34601,51680
63779525759737,34496,51440
63779525759747,34384,51520
63779525759757,34285,51680
63779525759767,34196,51536
63779525759777,34120,51528
63779525759787,34036,51792
63779525759797,33972,51568
63779525759807,33900,51712
63779525759817,33824,51771
63779525759838,33756,51876
63779525759848,33680,51724
63779525759858,33608,51620
63779525759868,33568,51900
63779525759878,33530,51804
63779525759888,33508,51864
63779525759898,33492,51896
63779525759908,33521,51776
63779525759918,33536,52032
63779525759928,33553,51856
63779525759938,33570,51752
63779525759948,33592,51941
63779525759958,33577,51892
63779525759968,33570,52040
63779525759978,33556,51808
63779525759988,33544,51880
63779525759998,33514,51877
63779525760008,33488,51936
63779525760018,33444,51953
63779525760029,33417,51816
63779525760039,33400,52080
63779525760049,33368,51840
63779525760059,33338,52120
63779525760069,33324,52084
63779525760079,33296,51844
63779525760089,33296,52064
63779525760099,33276,51800
63779525760109,33280,52037
63779525760119,33265,51968
63779525760119,33260,51859
63779525760129,33244,51816
63779525760139,33248,51893
63779525760149,33224,52100
63779525760159,33208,51840
63779525760169,33196,51887
63779525760179,33178,51816
63779525760189,33162,51844
63779525760199,33160,51840
63779525760209,33132,51904
63779525760219,33133,51776
63779525760229,33128,51920
63779525760239,33128,51716
63779525760249,33092,51856
63779525760259,33076,51888
63779525760269,33056,51768
63779525760279,33041,51768
63779525760289,33010,52016
63779525760299,33002,51872
63779525760309,32992,51776
63779525760319,33003,51612
63779525760340,33000,52032
63779525760350,33009,51924
63779525760360,33012,51852
63779525760370,33016,51748
63779525760380,33032,51762
63779525760390,33046,52008
63779525760400,33061,51848
63779525760410,33072,51760
63779525760420,33056,51800
63779525760420,33056,51856
63779525760430,33041,51808
63779525760440,33064,51816
63779525760450,33106,51872
63779525760460,33244,51824
63779525760470,33476,51851
63779525760480,33777,51808
63779525760490,34098,51880
63779525760500,34408,51932
63779525760510,34688,51952
63779525760520,34920,52026
63779525760541,35077,52041
63779525760551,35180,52012
63779525760561,35186,52112
63779525760571,35161,51880
63779525760581,35088,52116
63779525760591,35000,52116
63779525760601,34876,52164
63779525760611,34768,51879
63779525760621,34636,51960
63779525760622,34545,52117
63779525760632,34448,52096
63779525760642,34364,52016
63779525760652,34268,51908
63779525760662,34202,51920
63779525760672,34128,51996
63779525760682,34064,51864
63779525760692,33988,52097
63779525760702,33928,52124
63779525760712,33848,51856
63779525760722,33804,51832
63779525760733,33736,51864
63779525760743,33708,52105
63779525760753,33664,51840
63779525760763,33648,52084
63779525760773,33613,52052
63779525760783,33600,51828
63779525760793,33569,52084
63779525760803,33548,51812
63779525760813,33512,51820
63779525760823,33484,51977
