UnityTS,GSR,breath,heart
63781303146958,523,40160,27592
63781303146961,526,40304,27602
63781303146963,524,40768,27609
63781303146966,522,41472,27696
63781303146968,528,41536,27712
63781303146984,527,42013,27786
63781303146988,530,42432,27630
63781303147009,532,42644,27708
63781303147009,530,42737,27834
63781303147021,531,43096,28140
63781303147031,527,43320,28465
63781303147039,534,43484,28658
63781303147054,534,43740,28868
63781303147057,538,43778,28853
63781303147073,526,44044,29102
63781303147077,538,44130,29176
63781303147092,534,44064,29596
63781303147098,538,44716,30021
63781303147113,537,44912,30180
63781303147117,534,45136,30320
63781303147127,532,45360,30352
63781303147144,527,45628,30204
63781303147147,529,45616,29892
63781303147162,532,46040,29404
63781303147166,524,46356,29094
63781303147182,529,46560,28510
63781303147186,525,46668,27994
63781303147201,529,46928,27464
63781303147207,526,47073,26792
63781303147223,525,47144,25992
63781303147227,523,47169,25416
63781303147242,528,47384,24744
63781303147247,523,47388,24111
63781303147263,530,47352,23514
63781303147265,521,47432,23098
63781303147298,529,47608,22672
63781303147319,523,47640,22573
63781303147322,529,47484,22376
63781303147324,536,47424,22527
63781303147327,529,47468,22450
63781303147329,526,47428,22744
63781303147335,535,47308,22721
63781303147350,529,47152,23088
63781303147359,530,46740,23325
63781303147374,525,46748,23500
63781303147402,530,46298,23777
63781303147404,523,46136,24016
63781303147407,524,46068,24296
63781303147409,522,45906,24568
63781303147420,527,45706,24964
63781303147430,525,44768,25396
63781303147440,530,45316,25816
63781303147444,527,44824,26309
63781303147460,531,44724,26824
63781303147467,523,44785,27320
63781303147482,532,44630,27824
63781303147485,528,44240,28148
63781303147502,539,44268,28624
63781303147505,529,44312,29024
63781303147520,527,43868,29544
63781303147527,523,43832,29896
63781303147543,528,43804,30426
63781303147547,524,43532,31130
63781303147562,532,43372,31928
63781303147568,524,42888,32720
63781303147581,529,43028,33428
63781303147595,529,42868,34172
63781303147599,533,42458,34752
63781303147609,527,42456,35280
63781303147625,528,41996,35664
63781303147628,529,41808,35996
63781303147683,532,41856,36176
63781303147683,528,41704,36293
63781303147685,533,41568,36308
63781303147688,527,40608,36298
63781303147690,532,41340,36250
63781303147693,527,41308,36282
63781303147697,533,41132,36272
63781303147712,529,40078,36304
63781303147715,532,40760,36292
63781303147730,540,40545,36330
63781303147737,533,40600,36362
63781303147752,530,40444,36273
63781303147758,532,40268,36192
63781303147779,529,40400,36208
63781303147779,537,40048,36076
63781303147792,533,39940,36138
63781303147798,533,39770,36096
63781303147813,528,39488,35948
63781303147817,530,38412,35984
63781303147832,528,39017,36108
63781303147835,533,38700,36020
63781303147850,531,38994,35844
63781303147857,535,38732,35534
63781303147872,530,38491,35185
63781303147878,534,38284,34744
63781303147888,531,37704,34281
63781303147899,533,37912,33642
63781303147914,526,37660,33166
63781303147918,530,37504,32484
63781303147933,531,37100,31944
63781303147937,535,37033,31464
63781303147952,532,36842,30944
63781303147969,537,36528,30489
63781303147969,530,36180,30056
63781303147980,532,36096,29642
63781303147990,529,36280,29272
63781303148007,535,36260,28962
63781303148028,526,36238,28752
63781303148058,529,36042,28604
63781303148083,524,36128,28570
63781303148085,529,35822,28613
63781303148088,524,36115,28726
63781303148090,529,35817,28876
63781303148093,526,36000,29046
63781303148095,531,36096,29219
63781303148095,527,36129,29416
63781303148098,530,35738,29692
63781303148113,528,36114,30020
63781303148116,526,35558,30344
63781303148131,529,36302,30666
63781303148135,533,36048,31001
63781303148152,528,35398,31360
63781303148158,528,36412,31565
63781303148173,527,36044,31856
63781303148176,530,36186,32072
63781303148193,532,36424,32320
63781303148196,532,36364,32560
63781303148214,531,36362,32904
63781303148216,528,36832,33328
63781303148233,525,36660,33808
63781303148235,531,36708,34322
63781303148250,526,36904,34716
63781303148258,531,36408,35296
63781303148274,526,36984,35544
63781303148276,528,36800,35808
63781303148286,528,36988,36128
63781303148301,529,36734,36281
63781303148305,526,37264,36308
63781303148319,526,37204,36288
63781303148329,529,37316,36256
63781303148336,529,37090,36072
63781303148353,525,37328,35685
63781303148356,526,36920,35444
63781303148371,520,37292,35304
63781303148396,526,36917,35064
63781303148421,524,37228,34818
63781303148428,526,37184,34513
63781303148432,528,37068,34312
63781303148432,528,36240,34196
63781303148434,524,37048,33992
63781303148438,529,36748,33706
63781303148448,522,37282,33487
63781303148463,532,36978,33260
63781303146167,519,30004,37400
63781303146192,518,30540,37148
63781303146217,516,30116,36804
63781303146222,521,30560,36284
63781303146224,515,30706,35984
63781303146227,519,30959,35140
63781303146229,515,31204,34064
63781303146244,518,30768,32864
63781303146248,514,30737,31542
63781303146264,522,31706,30200
63781303146268,517,31668,28628
63781303146283,516,31856,27226
63781303146287,517,31824,25912
63781303146303,522,31986,24676
63781303146311,521,32096,23651
63781303146317,532,32552,22781
63781303146332,525,32330,22164
63781303146338,527,32420,21796
63781303146353,522,32564,21592
63781303146356,524,32865,21621
63781303146371,522,32660,21908
63781303146377,528,32570,22336
63781303146392,527,32920,22716
63781303146396,531,33048,23156
63781303146412,523,32426,23484
63781303146416,529,32844,23762
63781303146431,527,32888,24020
63781303146437,527,33576,24436
63781303146452,524,33048,24865
63781303146456,537,33548,25658
63781303146471,533,33620,26622
63781303146481,538,33668,27704
63781303146487,541,33194,28784
63781303146503,540,33780,29848
63781303146507,541,33600,30752
63781303146519,543,33880,31676
63781303146529,539,33905,32508
63781303146567,537,33868,33292
63781303146581,534,33976,33816
63781303146583,533,33988,34528
63781303146586,536,34064,34928
63781303146588,530,34136,35348
63781303146591,529,34364,35716
63781303146601,532,34136,36101
63781303146604,529,34560,36266
63781303146621,534,34240,36300
63781303146631,523,34244,36456
63781303146637,531,34500,36594
63781303146652,524,34880,36576
63781303146656,526,34620,36592
63781303146671,525,35036,36430
63781303146674,532,35164,36512
63781303146689,522,35117,36406
63781303146706,525,34916,36320
63781303146708,524,34680,36210
63781303146722,524,34904,36028
63781303146728,525,35108,35854
63781303146761,523,35008,35694
63781303146763,518,35636,35240
63781303146766,528,35609,34912
63781303146768,521,35378,34466
63781303146784,526,36012,34076
63781303146787,520,36100,33476
63781303146802,521,36316,32812
63781303146806,517,36186,32000
63781303146822,521,36932,31202
63781303146826,517,36896,30440
63781303146841,525,37316,29760
63781303146851,519,37644,29190
63781303146862,522,37783,28801
63781303146868,518,37775,28440
63781303146878,526,38428,28264
63781303146888,520,38352,28053
63781303146929,520,39024,27945
63781303146953,522,39477,27800
63781303146956,526,39824,27688
63781303146958,523,40160,27592
63781303146961,526,40304,27602
63781303146963,524,40768,27609
63781303146966,522,41472,27696
63781303146968,528,41536,27712
63781303146984,527,42013,27786
63781303146988,530,42432,27630
63781303147009,532,42644,27708
63781303147009,530,42737,27834
63781303147021,531,43096,28140
63781303147031,527,43320,28465
63781303147039,534,43484,28658
63781303147054,534,43740,28868
63781303147057,538,43778,28853
63781303147073,526,44044,29102
63781303147077,538,44130,29176
63781303147092,534,44064,29596
63781303147098,538,44716,30021
63781303147113,537,44912,30180
63781303147117,534,45136,30320
63781303147127,532,45360,30352
63781303147144,527,45628,30204
63781303147147,529,45616,29892
63781303147162,532,46040,29404
63781303147166,524,46356,29094
63781303147182,529,46560,28510
63781303147186,525,46668,27994
63781303147201,529,46928,27464
63781303147207,526,47073,26792
63781303147223,525,47144,25992
63781303147227,523,47169,25416
63781303147242,528,47384,24744
63781303147247,523,47388,24111
63781303147263,530,47352,23514
63781303147265,521,47432,23098
63781303147298,529,47608,22672
63781303147319,523,47640,22573
63781303147322,529,47484,22376
63781303147324,536,47424,22527
63781303147327,529,47468,22450
63781303147329,526,47428,22744
63781303147335,535,47308,22721
63781303147350,529,47152,23088
63781303147359,530,46740,23325
63781303147374,525,46748,23500
63781303147402,530,46298,23777
63781303147404,523,46136,24016
63781303147407,524,46068,24296
63781303147409,522,45906,24568
63781303147420,527,45706,24964
63781303147430,525,44768,25396
63781303147440,530,45316,25816
63781303147444,527,44824,26309
63781303147460,531,44724,26824
63781303147467,523,44785,27320
63781303147482,532,44630,27824
