UnityTS,GSR,breath,heart
63781302519261,592,41764,32066
63781302519268,587,41636,29825
63781302519270,589,41436,26584
63781302519271,587,41364,22686
63781302519275,592,41456,18146
63781302519282,588,40472,13342
63781302519290,590,41312,8750
63781302519306,598,41220,4421
63781302519312,599,41240,1273
63781302519322,605,40792,110
63781302519335,601,41283,111
63781302519339,608,41424,111
63781302519354,606,41418,962
63781302519360,604,41264,2205
63781302519375,610,41682,4069
63781302519379,605,41504,6132
63781302519394,608,41644,8078
63781302519404,603,41690,9980
63781302519407,602,41488,11774
63781302519424,602,41546,13312
63781302519427,606,41450,14738
63781302519444,609,41292,16072
63781302519450,603,40680,17191
63781302519466,609,40336,18514
63781302519469,603,40262,19628
63781302519484,608,40189,20577
63781302519490,602,39500,21629
63781302519506,607,39500,22650
63781302519510,603,39313,23636
63781302519525,600,38300,24692
63781302519529,603,39120,25688
63781302519562,604,38856,26840
63781302519565,602,38704,27976
63781302519567,604,38816,29088
63781302519571,600,38608,30169
63781302519599,605,38570,31136
63781302519626,600,38224,32001
63781302519635,604,38338,32860
63781302519637,603,38288,33652
63781302519640,605,38248,34190
63781302519642,603,38452,34848
63781302519645,606,38076,35328
63781302519655,602,38216,35742
63781302519659,601,38076,36068
63781302519674,601,38081,36160
63781302519680,605,37932,36400
63781302519695,604,38184,36512
63781302519706,606,37968,36740
63781302519714,606,38020,36744
63781302519724,603,37813,36668
63781302519727,607,37850,36528
63781302519744,608,38154,36281
63781302519750,606,38174,35968
63781302519764,608,38112,35600
63781302519774,605,38084,34868
63781302519785,605,38024,34096
63781302519792,603,37816,33002
63781302519800,606,37880,31752
63781302519815,610,37650,30362
63781302519821,609,37616,29054
63781302519836,608,37860,27910
63781302519840,602,37501,26641
63781302519850,603,37512,25480
63781302519861,606,37684,24705
63781302519871,602,37680,24145
63781302519881,604,37034,24032
63781302519891,603,37252,24429
63781302519907,605,37194,24808
63781302519911,604,36714,25452
63781302519935,605,36778,26096
63781302519935,604,36888,26916
63781302519938,599,35696,27784
63781302519963,606,36456,28852
63781302519997,600,36376,30084
63781302519999,601,36218,31388
63781302520002,605,35808,32816
63781302520004,605,36098,34108
63781302520007,603,35840,35348
63781302520010,602,35472,36464
63781302520027,602,35584,37328
63781302520029,601,35680,38064
63781302520044,602,35186,38740
63781302520064,599,35510,39289
63781302520064,602,35212,39928
63781302520072,598,34812,40576
63781302520082,599,34656,40924
63781302520092,600,35082,41256
63781302520103,597,34964,41508
63781302520109,598,34628,41728
63781302520124,600,34936,41676
63781302520128,604,34736,41669
63781302520144,601,34456,41256
63781302520148,600,34841,40848
63781302520163,606,34581,40274
63781302520167,609,34954,39328
63781302520202,605,34762,38074
63781302520204,607,34918,36642
63781302520207,606,35034,34708
63781302520210,603,34650,32912
63781302520227,606,35249,31149
63781302520230,607,35124,29588
63781302519261,592,41764,32066
63781302519268,587,41636,29825
63781302519270,589,41436,26584
63781302519271,587,41364,22686
63781302519275,592,41456,18146
63781302519282,588,40472,13342
63781302519290,590,41312,8750
63781302519306,598,41220,4421
63781302519312,599,41240,1273
63781302519322,605,40792,110
63781302519335,601,41283,111
63781302519339,608,41424,111
63781302519354,606,41418,962
63781302519360,604,41264,2205
63781302519375,610,41682,4069
63781302519379,605,41504,6132
63781302519394,608,41644,8078
63781302519404,603,41690,9980
63781302519407,602,41488,11774
63781302519424,602,41546,13312
63781302519427,606,41450,14738
63781302519444,609,41292,16072
63781302519450,603,40680,17191
63781302519466,609,40336,18514
63781302519469,603,40262,19628
63781302519484,608,40189,20577
63781302519490,602,39500,21629
63781302519506,607,39500,22650
63781302519510,603,39313,23636
63781302519525,600,38300,24692
63781302519529,603,39120,25688
63781302519562,604,38856,26840
63781302519565,602,38704,27976
63781302519567,604,38816,29088
63781302519571,600,38608,30169
63781302519599,605,38570,31136
63781302519626,600,38224,32001
63781302519635,604,38338,32860
63781302519637,603,38288,33652
63781302519640,605,38248,34190
63781302519642,603,38452,34848
63781302519645,606,38076,35328
63781302519655,602,38216,35742
63781302519659,601,38076,36068
63781302519674,601,38081,36160
63781302519680,605,37932,36400
63781302519695,604,38184,36512
63781302519706,606,37968,36740
63781302519714,606,38020,36744
63781302519724,603,37813,36668
63781302519727,607,37850,36528
63781302519744,608,38154,36281
63781302519750,606,38174,35968
63781302519764,608,38112,35600
63781302519774,605,38084,34868
63781302519785,605,38024,34096
63781302519792,603,37816,33002
63781302519800,606,37880,31752
63781302519815,610,37650,30362
63781302519821,609,37616,29054
63781302519836,608,37860,27910
63781302519840,602,37501,26641
63781302519850,603,37512,25480
63781302519861,606,37684,24705
63781302519871,602,37680,24145
63781302519881,604,37034,24032
63781302519891,603,37252,24429
63781302519907,605,37194,24808
63781302519911,604,36714,25452
63781302519935,605,36778,26096
